figure,title_cn,role,png,pdf,tif,source,note
Fig01,方法总流程图,正文,Main_Figures/Fig01_Detailed_Framework.png,Main_Figures/Fig01_Detailed_Framework.pdf,Main_Figures/Fig01_Detailed_Framework.tif,脚本定义方法流程,传导式选择性无监督聚类；主实验为 UMAP 100-D + K=60。
Fig02,四个数据集代表性原图,正文,Main_Figures/Fig02_Representative_Dataset_Images.png,Main_Figures/Fig02_Representative_Dataset_Images.pdf,Main_Figures/Fig02_Representative_Dataset_Images.tif,Source_Data/representative_images/,PV-Fruit、PV-Vegetable、MCLD-11、DFLD-BR-4 各展示未经增强的代表图像。
Fig03,事后多对一类别映射示意图,正文,Main_Figures/Fig03_PostHoc_ManyToOne_Mapping.png,Main_Figures/Fig03_PostHoc_ManyToOne_Mapping.pdf,Main_Figures/Fig03_PostHoc_ManyToOne_Mapping.tif,脚本定义示意图,真实标签只在聚类和拒识结果固定后用于事后评价。
Fig04,C3 主实验结果,正文,Main_Figures/Fig04_Main_C3_Results.png,Main_Figures/Fig04_Main_C3_Results.pdf,Main_Figures/Fig04_Main_C3_Results.tif,Source_Data/main_results/clean_main.csv,展示 Acc_kept、Coverage 与保守全样本准确率，误差线为 5 个随机种子标准差。
Fig05,全部样本与保留样本聚类指标,正文,Main_Figures/Fig05_All_vs_Retained_Clustering_Metrics.png,Main_Figures/Fig05_All_vs_Retained_Clustering_Metrics.pdf,Main_Figures/Fig05_All_vs_Retained_Clustering_Metrics.tif,Source_Data/main_results/summary_all_vs_kept_cluster_metrics.csv,比较 ARI/NMI/AMI 的 all 与 kept 指标。
Fig06,公平降维对照,正文或补充,Main_Figures/Fig06_Fair_Dimensionality_Reduction.png,Main_Figures/Fig06_Fair_Dimensionality_Reduction.pdf,Main_Figures/Fig06_Fair_Dimensionality_Reduction.tif,Source_Data/main_results/fair_reduction_5seeds.csv,同一张柱状图内比较四个数据集的 Raw 2048D、PCA 100D 和 UMAP 100D。
Fig07,参数敏感性,正文或补充,Main_Figures/Fig07_Parameter_Sensitivity.png,Main_Figures/Fig07_Parameter_Sensitivity.pdf,Main_Figures/Fig07_Parameter_Sensitivity.tif,Source_Data/main_results/parameter_sensitivity_5seeds.csv,仅将 K=20 作为探索性敏感性对照；V13 主实验固定为 UMAP100 + K=60，完整参数表放源数据。
Fig08,DINOv2 外部自监督骨干基线,正文,Main_Figures/Fig08_External_DINOv2_Baseline.png,Main_Figures/Fig08_External_DINOv2_Baseline.pdf,Main_Figures/Fig08_External_DINOv2_Baseline.tif,Source_Data/dinov2/summary_convnext_vs_dinov2_key.csv,同一张散点图内比较四个数据集；不把 ConvNeXt 与 DINOv2 差距解释为骨干优劣。
Fig09,薄弱类别与高拒识类别,正文或补充,Main_Figures/Fig09_Weak_and_HighRejection_Classes.png,Main_Figures/Fig09_Weak_and_HighRejection_Classes.pdf,Main_Figures/Fig09_Weak_and_HighRejection_Classes.tif,Source_Data/confusion_matrices/weak_or_high_rejection_classes_5seed.csv,用于讨论 MCLD-11 和 PV-Vegetable 中的困难类别。
Fig10a,PV-Fruit 保留样本混淆矩阵,正文,Main_Figures/Fig10a_PV_Fruit_Kept_Confusion_Matrix.png,Main_Figures/Fig10a_PV_Fruit_Kept_Confusion_Matrix.pdf,Main_Figures/Fig10a_PV_Fruit_Kept_Confusion_Matrix.tif,Source_Data/confusion_matrices/PV-Fruit_kept.csv,服务器真实结果的 5-seed 平均按行归一化矩阵。
Fig10b,PV-Vegetable 保留样本混淆矩阵,正文,Main_Figures/Fig10b_PV_Vegetable_Kept_Confusion_Matrix.png,Main_Figures/Fig10b_PV_Vegetable_Kept_Confusion_Matrix.pdf,Main_Figures/Fig10b_PV_Vegetable_Kept_Confusion_Matrix.tif,Source_Data/confusion_matrices/PV-Vegetable_kept.csv,服务器真实结果的 5-seed 平均按行归一化矩阵。
Fig10c,MCLD-11 保留样本混淆矩阵,正文,Main_Figures/Fig10c_MCLD_11_Kept_Confusion_Matrix.png,Main_Figures/Fig10c_MCLD_11_Kept_Confusion_Matrix.pdf,Main_Figures/Fig10c_MCLD_11_Kept_Confusion_Matrix.tif,Source_Data/confusion_matrices/MCLD-11_kept.csv,服务器真实结果的 5-seed 平均按行归一化矩阵。
Fig10d,DFLD-BR-4 保留样本混淆矩阵,正文,Main_Figures/Fig10d_DFLD_BR_4_Kept_Confusion_Matrix.png,Main_Figures/Fig10d_DFLD_BR_4_Kept_Confusion_Matrix.pdf,Main_Figures/Fig10d_DFLD_BR_4_Kept_Confusion_Matrix.tif,Source_Data/confusion_matrices/DFLD-BR-4_kept.csv,服务器真实结果的 5-seed 平均按行归一化矩阵。
Fig11,离散风险-覆盖率操作点,正文,Main_Figures/Fig11_Discrete_Risk_Coverage_Points.png,Main_Figures/Fig11_Discrete_Risk_Coverage_Points.pdf,Main_Figures/Fig11_Discrete_Risk_Coverage_Points.tif,Source_Data/main_results/risk_coverage_discrete_operating_points.csv,同一张图内比较四个数据集；这是离散操作点，不是连续 AURC 曲线。
FigS01a,PV-Fruit 全样本含 Rejected 混淆矩阵,补充,Supplementary_Figures/FigS01a_PV_Fruit_AllPlusRejected_Confusion_Matrix.png,Supplementary_Figures/FigS01a_PV_Fruit_AllPlusRejected_Confusion_Matrix.pdf,Supplementary_Figures/FigS01a_PV_Fruit_AllPlusRejected_Confusion_Matrix.tif,Source_Data/confusion_matrices/PV-Fruit_all_plus_Rejected.csv,服务器真实结果的 5-seed 平均按行归一化矩阵；最后一列为 Rejected。
FigS01b,PV-Vegetable 全样本含 Rejected 混淆矩阵,补充,Supplementary_Figures/FigS01b_PV_Vegetable_AllPlusRejected_Confusion_Matrix.png,Supplementary_Figures/FigS01b_PV_Vegetable_AllPlusRejected_Confusion_Matrix.pdf,Supplementary_Figures/FigS01b_PV_Vegetable_AllPlusRejected_Confusion_Matrix.tif,Source_Data/confusion_matrices/PV-Vegetable_all_plus_Rejected.csv,服务器真实结果的 5-seed 平均按行归一化矩阵；最后一列为 Rejected。
FigS01c,MCLD-11 全样本含 Rejected 混淆矩阵,补充,Supplementary_Figures/FigS01c_MCLD_11_AllPlusRejected_Confusion_Matrix.png,Supplementary_Figures/FigS01c_MCLD_11_AllPlusRejected_Confusion_Matrix.pdf,Supplementary_Figures/FigS01c_MCLD_11_AllPlusRejected_Confusion_Matrix.tif,Source_Data/confusion_matrices/MCLD-11_all_plus_Rejected.csv,服务器真实结果的 5-seed 平均按行归一化矩阵；最后一列为 Rejected。
FigS01d,DFLD-BR-4 全样本含 Rejected 混淆矩阵,补充,Supplementary_Figures/FigS01d_DFLD_BR_4_AllPlusRejected_Confusion_Matrix.png,Supplementary_Figures/FigS01d_DFLD_BR_4_AllPlusRejected_Confusion_Matrix.pdf,Supplementary_Figures/FigS01d_DFLD_BR_4_AllPlusRejected_Confusion_Matrix.tif,Source_Data/confusion_matrices/DFLD-BR-4_all_plus_Rejected.csv,服务器真实结果的 5-seed 平均按行归一化矩阵；最后一列为 Rejected。
